Delegado;Tiempo;CPU Load Inicial;CPU Load Mitad;CPU Load Final;Estado Final 
0;383.0;0.0;72.6;76.7;OK
1;26.0;100.0;66.6;77.7;OK
2;15.0;66.6;100.0;66.6;OK
3;9.0;75.0;50.0;100.0;OK
4;15.0;50.0;0.0;0.0;OK
5;10.0;0.0;0.0;0.0;OK
6;11.0;0.0;0.0;0.0;OK
7;8.0;0.0;0.0;0.0;OK
8;7.0;0.0;0.0;0.0;OK
9;8.0;0.0;0.0;0.0;OK
10;9.0;0.0;0.0;0.0;OK
11;7.0;0.0;0.0;0.0;OK
12;6.0;0.0;0.0;0.0;OK
13;5.0;0.0;0.0;0.0;OK
14;7.0;0.0;0.0;0.0;OK
15;7.0;0.0;0.0;0.0;OK
16;25.0;0.0;0.0;0.0;OK
17;5.0;0.0;0.0;0.0;OK
18;7.0;0.0;0.0;0.0;OK
19;5.0;0.0;0.0;0.0;OK
20;9.0;0.0;0.0;0.0;OK
21;6.0;43.5;100.0;66.6;OK
22;4.0;33.3;0.0;0.0;OK
23;5.0;0.0;0.0;0.0;OK
24;4.0;0.0;0.0;0.0;OK
25;7.0;0.0;0.0;0.0;OK
26;9.0;0.0;0.0;0.0;OK
27;10.0;0.0;0.0;0.0;OK
28;4.0;0.0;0.0;0.0;OK
29;5.0;0.0;0.0;0.0;OK
30;7.0;0.0;0.0;0.0;OK
31;5.0;37.5;0.0;100.0;OK
32;8.0;36.1;100.0;75.0;OK
33;5.0;31.4;100.0;66.6;OK
34;6.0;0.0;0.0;0.0;OK
35;6.0;0.0;0.0;0.0;OK
36;7.0;0.0;0.0;0.0;OK
37;6.0;0.0;0.0;0.0;OK
38;7.0;0.0;0.0;0.0;OK
39;5.0;0.0;0.0;0.0;OK
40;5.0;0.0;0.0;0.0;OK
41;5.0;37.8;100.0;50.0;OK
42;8.0;47.5;0.0;0.0;OK
43;10.0;0.0;0.0;0.0;OK
44;8.0;0.0;0.0;0.0;OK
45;25.0;0.0;0.0;0.0;OK
46;7.0;0.0;0.0;0.0;OK
47;7.0;0.0;0.0;0.0;OK
48;8.0;0.0;0.0;0.0;OK
49;5.0;0.0;0.0;0.0;OK
50;6.0;0.0;0.0;0.0;OK
51;5.0;61.5;0.0;66.6;OK
52;7.0;60.5;0.0;0.0;OK
53;6.0;0.0;0.0;0.0;OK
54;11.0;0.0;0.0;0.0;OK
55;4.0;0.0;0.0;0.0;OK
56;5.0;0.0;0.0;0.0;OK
57;11.0;0.0;0.0;0.0;OK
58;4.0;0.0;0.0;0.0;OK
59;7.0;0.0;0.0;0.0;OK
60;3.0;0.0;0.0;0.0;OK
61;4.0;42.6;0.0;0.0;OK
62;8.0;37.5;0.0;0.0;OK
63;6.0;37.1;0.0;0.0;OK
64;7.0;0.0;0.0;0.0;OK
65;5.0;0.0;0.0;0.0;OK
66;5.0;0.0;0.0;0.0;OK
67;6.0;0.0;0.0;0.0;OK
68;6.0;0.0;0.0;0.0;OK
69;8.0;0.0;0.0;0.0;OK
70;16.0;0.0;0.0;0.0;OK
71;3.0;51.6;0.0;50.0;OK
72;5.0;42.5;100.0;100.0;OK
73;10.0;37.1;0.0;0.0;OK
74;6.0;0.0;0.0;0.0;OK
75;5.0;0.0;0.0;0.0;OK
76;3.0;0.0;0.0;0.0;OK
77;3.0;0.0;0.0;0.0;OK
78;6.0;0.0;0.0;0.0;OK
79;5.0;0.0;0.0;0.0;OK
