Delegado;Tiempo;CPU Load Inicial;CPU Load Mitad;CPU Load Final;Estado Final 
0;539.0;0.0;0.0;71.8;OK
1;3.0;100.0;0.0;100.0;OK
2;1.0;0.0;0.0;0.0;OK
3;1.0;0.0;0.0;0.0;OK
4;1.0;0.0;0.0;0.0;OK
5;2.0;0.0;0.0;0.0;OK
6;2.0;0.0;0.0;0.0;OK
7;4.0;0.0;0.0;0.0;OK
8;1.0;0.0;0.0;0.0;OK
9;1.0;0.0;0.0;0.0;OK
10;1.0;0.0;0.0;0.0;OK
11;1.0;0.0;0.0;0.0;OK
12;1.0;0.0;0.0;0.0;OK
13;1.0;0.0;0.0;0.0;OK
14;1.0;0.0;0.0;0.0;OK
15;2.0;0.0;0.0;0.0;OK
16;1.0;0.0;0.0;0.0;OK
17;1.0;0.0;0.0;0.0;OK
18;0.0;0.0;0.0;0.0;OK
19;1.0;0.0;0.0;0.0;OK
20;1.0;0.0;0.0;0.0;OK
21;1.0;0.0;0.0;0.0;OK
22;1.0;0.0;0.0;0.0;OK
23;1.0;0.0;0.0;0.0;OK
24;2.0;0.0;0.0;0.0;OK
25;1.0;0.0;0.0;0.0;OK
26;0.0;0.0;0.0;0.0;OK
27;3.0;0.0;0.0;0.0;OK
28;1.0;0.0;0.0;0.0;OK
29;1.0;0.0;0.0;0.0;OK
30;0.0;0.0;0.0;0.0;OK
31;1.0;0.0;0.0;0.0;OK
32;1.0;0.0;0.0;0.0;OK
33;0.0;0.0;0.0;0.0;OK
34;1.0;0.0;0.0;0.0;OK
35;0.0;0.0;0.0;0.0;OK
36;1.0;0.0;0.0;0.0;OK
37;2.0;0.0;0.0;0.0;OK
38;1.0;0.0;0.0;0.0;OK
39;0.0;0.0;0.0;0.0;OK
40;1.0;0.0;0.0;0.0;OK
41;0.0;0.0;0.0;0.0;OK
42;2.0;0.0;0.0;0.0;OK
43;5.0;0.0;0.0;0.0;OK
44;1.0;0.0;0.0;0.0;OK
45;1.0;0.0;0.0;0.0;OK
46;0.0;0.0;0.0;0.0;OK
47;0.0;0.0;0.0;0.0;OK
